Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Griewangk_D100_Roulette_C0.7_M1.0,Griewangk,100,Roulette,0.7,1.0,0.000417,10.52648276,38.35034464,16.51568762,400,150,50.0,30,3.86
Griewangk_D100_Roulette_C0.7_M2.0,Griewangk,100,Roulette,0.7,2.0,0.000833,5.14437678,20.25190055,12.45161321,400,150,50.0,30,3.84
Griewangk_D100_Roulette_C0.7_M4.0,Griewangk,100,Roulette,0.7,4.0,0.001667,3.39169782,12.08156689,8.21921428,400,150,50.0,30,3.77
Griewangk_D100_Roulette_C0.8_M1.0,Griewangk,100,Roulette,0.8,1.0,0.000417,9.2894297,35.73185956,17.52601795,400,150,50.0,30,3.67
Griewangk_D100_Roulette_C0.8_M2.0,Griewangk,100,Roulette,0.8,2.0,0.000833,5.53336029,26.25796018,16.26831546,400,150,50.0,30,3.63
Griewangk_D100_Roulette_C0.8_M4.0,Griewangk,100,Roulette,0.8,4.0,0.001667,3.47426986,9.67426728,4.15536788,400,150,50.0,30,3.67
Griewangk_D100_Roulette_C0.9_M1.0,Griewangk,100,Roulette,0.9,1.0,0.000417,17.23703629,33.53402458,13.9376916,400,150,50.0,30,3.69
Griewangk_D100_Roulette_C0.9_M2.0,Griewangk,100,Roulette,0.9,2.0,0.000833,6.47513273,19.38276287,9.78500084,400,150,50.0,30,3.86
Griewangk_D100_Roulette_C0.9_M4.0,Griewangk,100,Roulette,0.9,4.0,0.001667,3.78601687,12.65877587,7.68030673,400,150,50.0,30,3.99
Griewangk_D100_Tournament_C0.7_M1.0,Griewangk,100,Tournament,0.7,1.0,0.000417,4.87972117,14.78123319,6.70066769,400,150,50.0,30,3.45
Griewangk_D100_Tournament_C0.7_M2.0,Griewangk,100,Tournament,0.7,2.0,0.000833,4.51515923,9.43882383,5.43941204,400,150,50.0,30,3.32
Griewangk_D100_Tournament_C0.7_M4.0,Griewangk,100,Tournament,0.7,4.0,0.001667,2.83333907,6.09574646,2.15888836,400,150,50.0,30,3.34
Griewangk_D100_Tournament_C0.8_M1.0,Griewangk,100,Tournament,0.8,1.0,0.000417,3.85726871,11.43137443,4.40810273,400,150,50.0,30,3.63
Griewangk_D100_Tournament_C0.8_M2.0,Griewangk,100,Tournament,0.8,2.0,0.000833,3.99132475,10.55055021,5.45444144,400,150,50.0,30,3.69
Griewangk_D100_Tournament_C0.8_M4.0,Griewangk,100,Tournament,0.8,4.0,0.001667,2.57236634,6.54475826,3.51647078,400,150,50.0,30,3.64
Griewangk_D100_Tournament_C0.9_M1.0,Griewangk,100,Tournament,0.9,1.0,0.000417,4.43637639,10.43723578,4.42041415,400,150,50.0,30,3.63
Griewangk_D100_Tournament_C0.9_M2.0,Griewangk,100,Tournament,0.9,2.0,0.000833,4.03119246,8.02579683,2.99924031,400,150,50.0,30,3.67
Griewangk_D100_Tournament_C0.9_M4.0,Griewangk,100,Tournament,0.9,4.0,0.001667,1.96344336,4.47987873,2.38288194,400,150,50.0,30,3.65
Griewangk_D2_Roulette_C0.7_M1.0,Griewangk,2,Roulette,0.7,1.0,0.020833,0.0,0.10985772,0.12137496,200,100,,30,0.55
Griewangk_D2_Roulette_C0.7_M2.0,Griewangk,2,Roulette,0.7,2.0,0.041667,0.0,0.04256591,0.04429117,200,100,,30,0.55
Griewangk_D2_Roulette_C0.7_M4.0,Griewangk,2,Roulette,0.7,4.0,0.083333,0.0,0.02079186,0.0225108,200,100,,30,0.56
Griewangk_D2_Roulette_C0.8_M1.0,Griewangk,2,Roulette,0.8,1.0,0.020833,0.0,0.14272879,0.14572621,200,100,,30,0.55
Griewangk_D2_Roulette_C0.8_M2.0,Griewangk,2,Roulette,0.8,2.0,0.041667,0.0,0.03451354,0.04404222,200,100,,30,0.55
Griewangk_D2_Roulette_C0.8_M4.0,Griewangk,2,Roulette,0.8,4.0,0.083333,0.0,0.01610803,0.01809051,200,100,,30,0.61
Griewangk_D2_Roulette_C0.9_M1.0,Griewangk,2,Roulette,0.9,1.0,0.020833,0.0,0.11741866,0.16412251,200,100,,30,0.61
