Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Griewangk_D2_Roulette_C0.7_M1.0,Griewangk,2,Roulette,0.7,1.0,0.020833,0.0,0.10985772,0.12137496,200,100,,30,0.55
Griewangk_D2_Roulette_C0.7_M2.0,Griewangk,2,Roulette,0.7,2.0,0.041667,0.0,0.04256591,0.04429117,200,100,,30,0.55
Griewangk_D2_Roulette_C0.7_M4.0,Griewangk,2,Roulette,0.7,4.0,0.083333,0.0,0.02079186,0.0225108,200,100,,30,0.56
Griewangk_D2_Roulette_C0.8_M1.0,Griewangk,2,Roulette,0.8,1.0,0.020833,0.0,0.14272879,0.14572621,200,100,,30,0.55
Griewangk_D2_Roulette_C0.8_M2.0,Griewangk,2,Roulette,0.8,2.0,0.041667,0.0,0.03451354,0.04404222,200,100,,30,0.55
Griewangk_D30_Roulette_C0.8_M4.0,Griewangk,30,Roulette,0.8,4.0,0.005556,1.007e-05,0.06980796,0.08518609,400,150,50.0,30,2.14
Griewangk_D30_Tournament_C0.9_M4.0,Griewangk,30,Tournament,0.9,4.0,0.005556,2.28e-05,0.02688931,0.03155854,400,150,50.0,30,1.92
Griewangk_D30_Roulette_C0.9_M4.0,Griewangk,30,Roulette,0.9,4.0,0.005556,3.095e-05,0.10029255,0.15550941,400,150,50.0,30,2.17
Griewangk_D30_Roulette_C0.7_M4.0,Griewangk,30,Roulette,0.7,4.0,0.005556,5.784e-05,0.06944814,0.07732512,400,150,50.0,30,2.16
Griewangk_D30_Tournament_C0.9_M2.0,Griewangk,30,Tournament,0.9,2.0,0.002778,7.336e-05,0.05173107,0.04317447,400,150,50.0,30,1.93
Griewangk_D100_Tournament_C0.9_M4.0,Griewangk,100,Tournament,0.9,4.0,0.001667,1.96344336,4.47987873,2.38288194,400,150,50.0,30,3.65
Griewangk_D100_Tournament_C0.8_M4.0,Griewangk,100,Tournament,0.8,4.0,0.001667,2.57236634,6.54475826,3.51647078,400,150,50.0,30,3.64
Griewangk_D100_Tournament_C0.7_M4.0,Griewangk,100,Tournament,0.7,4.0,0.001667,2.83333907,6.09574646,2.15888836,400,150,50.0,30,3.34
Griewangk_D100_Roulette_C0.7_M4.0,Griewangk,100,Roulette,0.7,4.0,0.001667,3.39169782,12.08156689,8.21921428,400,150,50.0,30,3.77
Griewangk_D100_Roulette_C0.8_M4.0,Griewangk,100,Roulette,0.8,4.0,0.001667,3.47426986,9.67426728,4.15536788,400,150,50.0,30,3.67
Michalewicz_D2_Roulette_C0.7_M1.0,Michalewicz,2,Roulette,0.7,1.0,0.033333,-1.80130329,-1.80130329,0.0,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.7_M2.0,Michalewicz,2,Roulette,0.7,2.0,0.066667,-1.80130329,-1.7621537,0.14648434,200,100,,30,0.51
Michalewicz_D2_Roulette_C0.7_M4.0,Michalewicz,2,Roulette,0.7,4.0,0.133333,-1.80130329,-1.80130329,0.0,200,100,,30,0.52
Michalewicz_D2_Roulette_C0.8_M1.0,Michalewicz,2,Roulette,0.8,1.0,0.033333,-1.80130329,-1.78172849,0.10541349,200,100,,30,0.53
Michalewicz_D2_Roulette_C0.8_M2.0,Michalewicz,2,Roulette,0.8,2.0,0.066667,-1.80130329,-1.78172849,0.10541349,200,100,,30,0.52
Michalewicz_D30_Tournament_C0.8_M2.0,Michalewicz,30,Tournament,0.8,2.0,0.004444,-28.16682681,-25.21391659,1.25163463,400,150,50.0,30,1.52
Michalewicz_D30_Tournament_C0.9_M2.0,Michalewicz,30,Tournament,0.9,2.0,0.004444,-27.97415325,-25.71760385,0.92438105,400,150,50.0,30,1.56
Michalewicz_D30_Tournament_C0.9_M1.0,Michalewicz,30,Tournament,0.9,1.0,0.002222,-27.73120939,-25.72867277,1.134482,400,150,50.0,30,1.55
Michalewicz_D30_Tournament_C0.9_M4.0,Michalewicz,30,Tournament,0.9,4.0,0.008889,-27.62403663,-25.63864711,1.03113133,400,150,50.0,30,1.57
Michalewicz_D30_Roulette_C0.7_M4.0,Michalewicz,30,Roulette,0.7,4.0,0.008889,-27.5968878,-24.4568569,1.03840755,400,150,50.0,30,1.79
Michalewicz_D100_Tournament_C0.9_M1.0,Michalewicz,100,Tournament,0.9,1.0,0.000667,-86.85449117,-79.85428749,3.17026105,400,150,50.0,30,2.92
Michalewicz_D100_Tournament_C0.9_M2.0,Michalewicz,100,Tournament,0.9,2.0,0.001333,-86.01064644,-80.21288565,2.4686849,400,150,50.0,30,2.93
Michalewicz_D100_Roulette_C0.7_M2.0,Michalewicz,100,Roulette,0.7,2.0,0.001333,-85.62271074,-78.4721678,2.59781586,400,150,50.0,30,3.09
Michalewicz_D100_Tournament_C0.9_M4.0,Michalewicz,100,Tournament,0.9,4.0,0.002667,-84.78681976,-80.33618049,2.41237703,400,150,50.0,30,2.88
Michalewicz_D100_Tournament_C0.7_M2.0,Michalewicz,100,Tournament,0.7,2.0,0.001333,-83.9283716,-78.5527075,2.77584517,400,150,50.0,30,2.58
Rastrigin_D2_Roulette_C0.7_M1.0,Rastrigin,2,Roulette,0.7,1.0,0.029412,6.1e-07,0.79596707,1.31996063,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.7_M2.0,Rastrigin,2,Roulette,0.7,2.0,0.058824,6.1e-07,0.0331659,0.17860057,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.7_M4.0,Rastrigin,2,Roulette,0.7,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.51
Rastrigin_D2_Roulette_C0.8_M1.0,Rastrigin,2,Roulette,0.8,1.0,0.029412,6.1e-07,0.33165339,0.82580851,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.8_M2.0,Rastrigin,2,Roulette,0.8,2.0,0.058824,6.1e-07,0.0331659,0.17860057,200,100,,30,0.54
Rastrigin_D30_Tournament_C0.9_M4.0,Rastrigin,30,Tournament,0.9,4.0,0.007843,25.8689247,47.76552136,11.01430659,400,150,50.0,30,1.52
Rastrigin_D30_Tournament_C0.9_M2.0,Rastrigin,30,Tournament,0.9,2.0,0.003922,30.84371857,49.97272522,9.43170775,400,150,50.0,30,1.52
Rastrigin_D30_Roulette_C0.7_M4.0,Rastrigin,30,Roulette,0.7,4.0,0.007843,32.83362778,52.43429257,7.73746126,400,150,50.0,30,1.78
